Point,Habitat,ID,Year,AMGO,AMRO,BAOR,BARS,BAWW,BCCH,BGGN,BHCO,BLJA,BRTH,BWWA,CEDW,COGR,COYE,EABL,EAKI,EATO,FISP,GCFL,GRCA,HOWR,INBU,MODO,NOCA,NOFL,OROR,OVEN,PUMA,RBGR,RBWO,RWBL,SOSP,SWSP,TRES,TUTI,VEER,WAVI,WBNU,WEVI,WIFL,WITU,WOTH,YBCU,YEWA,YTVI,ACRU,APCA,ARVU,CARE,COAM,CORA,DICL,EUGR,GAMO,JUNC,LIST,LOMO,LYLI,LYSA,MACA,MIVI,MYPE,ONSE,PAQU,PHAR,POSI,PYVI,QUPA,ROMU,ROPA,RUBU,SCSC,SCCY,SOLI,SPLA,SPTO,TORA,VACC,VENO,VIDE,VILA,mowtime,GCVR.Grass,GCVR.Forb,GCVR.ShrubTree,GCVR.Litter,GCVR.Wood,GCVR.Moss,GCVR.Water,VegHgt.Avg,VegHgt.Stdv,LD.Avg,LD.Stdv,AvgCanopy,ShrubSTM,TreeSTM,Avg.TreeDist,Avg.TreeHgt,Avg.ShrubHgt,Avg.ShrubWdt,Avg.ShrubDist
55-1.,2,54,2015,1,0,0,0,0,0,1,1,1,0,1,0,0,6,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,4,4,1,1,0,0,0,2,0,0,0,4,0,1,2,0,0,0,0,1,2,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2,0.05,0.45,0.5,0,0,0,0,107.5,30.1,3.9,1.1,7,43,1211,1.2,1.6,1.1,0.4,1.5
51-1.,2,55,2015,0,1,0,0,1,0,0,1,1,0,4,0,0,4,0,0,2,0,1,5,0,0,0,1,2,0,0,0,0,2,1,4,2,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,6,0.1,0.5,0.25,0,0.1,0,0.05,90.4,34,4.5,4.1,6,100,160,8.0,5.6,1.1,0.6,5.5
49-1.,2,57,2015,3,2,0,0,1,0,0,1,0,0,1,0,0,2,0,0,3,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8,0,0,4,0,0,0,1,0,1,0,6,0,0.3,0.65,0.05,0,0,0,95,43.5,5.4,2.1,25,480,36,6.7,3.9,1.6,1.1,3.3
49-2.,2,58,2015,4,1,0,0,0,0,0,2,0,0,2,0,0,2,0,0,4,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,2,3,6,0,0.5,0.8,0.05,0,0.05,0,99.9,51.2,4.7,1.9,13,166,87,5.3,2.5,1.8,0.9,1.7
59-2.,2,59,2015,2,2,0,0,1,0,0,2,0,0,0,2,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,0,1,0,0,1,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,2,0,0,0,0,1,1,3,0,1,5,5,0.05,0.4,0.55,0,0,0,0,186.8,112.1,6.4,5.3,63,305,103,4.2,5.8,1.4,0.9,4.1
59-1.,2,60,2015,0,1,0,0,1,1,2,3,0,0,1,0,0,3,0,0,4,1,1,4,0,0,0,1,1,0,3,0,0,1,0,0,0,1,1,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,9,0,1,0,5,0.02,0.15,0.75,0,0,0,0,123.6,25.2,4.9,1.4,60,802,65,3.9,7.9,1.6,0.8,2.2
60-1.,2,61,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,8,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,3,0,0,0,1,0,0,0,7,0,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,3,0,1,0,1,0,1,0,11,0,0.2,0.8,0,0,0,0,119.4,27.4,3.2,1.6,28,821,33,4.8,4.5,2.2,1.4,3.6
61-1.,2,62,2015,1,0,0,0,1,1,1,1,0,0,1,0,0,2,0,0,3,1,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,4,0,0,0,2,0,0.1,0.8,0.05,0.05,0,0,142.8,54.5,4.9,2.1,8,1233,164,3.8,2.5,1.3,0.8,1.3
66b-1.,2,63,2015,2,0,0,0,1,0,0,1,0,0,2,0,2,4,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,2,0,3,1,1,2,11,0.05,0.25,0.7,0,0,0,0,182.1,37.6,5.5,2.3,2,690,6,8.1,4.7,2.0,1.4,2.0
66a-1.,2,64,2015,3,1,0,0,2,0,1,0,0,0,1,2,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,4,0,0,0,0,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,1,0,11,0,0.05,0.7,0.2,0.05,0,0,156.5,34.9,3,1.2,73,487,216,2.7,5.9,1.9,1.0,2.6
66a-2.,2,65,2015,0,1,0,0,1,0,0,0,0,0,1,0,1,3,0,0,5,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,2,0,1,0,11,0.1,0.4,0.25,0.15,0.1,0,0,97.8,52.1,2.3,1.5,33,248,108,3.6,5.0,1.9,1.6,3.0
50a-1.,2,66,2015,3,2,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,4,0,1,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,5,0,0.1,0.75,0.15,0,0,0,197.7,68.7,4.3,1.5,69,545,88,3.1,3.7,4.1,0.8,2.9
74-1.,2,68,2015,4,0,0,0,0,0,0,2,0,0,1,0,0,4,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,3,0,0,0,8,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,0,0,0,11,0,0.1,0.5,0.3,0,0.05,0.05,153.8,45.4,2.3,2.5,34,1215,80,1.4,2.7,1.5,0.6,0.9
74-2.,2,69,2015,1,0,0,0,0,0,1,3,0,0,2,0,0,3,0,0,3,1,0,7,0,0,0,1,1,0,0,0,0,0,2,3,4,1,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,4,0,2,1,1,1,1,0,11,0,0.35,0.5,0.1,0,0.05,0,137.2,60.4,2.6,2.4,27,605,86,4.0,3.2,1.4,0.8,2.1
64b-1.,2,70,2015,0,2,0,0,0,0,0,0,0,0,1,2,0,7,0,0,3,0,1,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,2,0,5,0,0.05,0.75,0.2,0,0,0,187.5,119.4,7.1,4.8,60,706,172,3.1,4.3,1.9,1.0,2.5
64a-1.,2,71,2015,2,0,0,0,1,1,1,4,1,0,1,0,0,2,0,0,1,0,0,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,1,0,3,0,0,0,11,0,0.1,0.6,0.25,0.05,0,0,181.4,93.7,3.9,1.4,64,455,165,3.8,4.3,1.5,1.1,3.3
63-1.,2,72,2015,0,0,0,0,1,0,0,0,0,0,1,1,0,4,0,0,2,0,0,9,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,0,0,0,1,0,2,0,1,0,11,0,0.1,0.75,0.15,0,0,0,261.3,216.4,7.4,4,72,310,97,4.3,6.9,1.6,0.8,1.5
62ab-1.,2,73,2015,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,1,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1,1,2,1,2,0,2,0,0.25,0.45,0.25,0,0.05,0,207.6,45.7,3.4,1.3,70,621,10,9.4,6.8,2.3,2.3,2.1
47e-1.,2,74,2015,3,0,0,0,1,0,0,3,0,0,0,1,2,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,6,0,0,0,7,0,0.25,0.45,0.15,0.1,0.05,0,97,26.6,5.5,6.9,44,620,110,5.1,4.8,1.7,0.5,3.4
47d-1.,2,75,2015,2,0,0,0,3,0,0,1,0,0,0,3,0,5,0,0,5,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,5,0,0,0,8,0,0.05,0.65,0.2,0,0.1,0,147.4,85.8,4.7,1.9,35,1039,182,4.7,6.2,2.2,1.9,2.4
47c-1.,2,76,2015,1,1,0,0,2,0,0,3,1,0,1,0,0,3,0,0,5,1,1,5,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,8,0,0,0,6,0,0.02,0.8,0.05,0,0.05,0,136,31.5,4.3,4.3,24,1320,154,8.1,4.5,2.2,1.5,3.6
47a-1.,2,77,2015,0,0,0,0,1,0,0,1,1,0,0,0,0,4,0,0,5,2,0,7,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,8,0,0,0,2,0,0.2,0.55,0.15,0,0.05,0,90.3,58.6,3.6,2.1,64,559,227,2.9,6.5,2.1,1.0,3.6
52-1.,2,78,2015,2,2,0,0,2,1,0,1,2,0,3,2,0,1,0,0,3,0,0,5,0,1,0,0,4,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,1,0,5,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,2,0,0,1,0,0,0,6,0,0.35,0.45,0.1,0,0,0,105,35.2,5.3,8.1,46,535,132,5.3,4.9,1.5,1.1,4.3
52-2.,2,79,2015,1,0,0,0,0,0,1,0,2,0,1,1,0,2,0,0,1,0,0,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,4,0,0,0,6,0,0.3,0.5,0.15,0.05,0,0,96.3,43.5,4.1,4.1,38,460,139,3.8,4.4,1.8,1.2,2.7
